id,country,city,languages,texts,repository,repository id#,city of origin (provenance),country of origin (provenance),note,NAASCAL URL,Image URL-ish
75,Italy,Milan,Latin,,Biblioteca Ambrosiana,E 53 inf.,,,,http://www.nasscal.com/manuscripta-apocryphorum/milan-biblioteca-ambrosiana-e-53-inf/,
76,Germany,Munich,Latin,,Bayerische Staatsbibliothek,Clm 28189,,,,http://www.nasscal.com/manuscripta-apocryphorum/munich-bayerische-staatsbibliothek-clm-28189/,
77,United Kingdom,Oxford,Greek,,Sackler Library,Papyrology Rooms 23 3B 12/E(1) (P. Oxy. L 3525),,,,http://www.nasscal.com/manuscripta-apocryphorum/oxford-sackler-library-papyrology-rooms-23-3b-12-e1-p-oxy-l-3525/,
78,France,Paris,Greek,,Bibliothèque Nationale de France,Coislin 121,,,,http://www.nasscal.com/manuscripta-apocryphorum/paris-bibliotheque-nationale-de-france-coislin-121/,http://gallica.bnf.fr/services/engine/search/advancedSearch/
79,France,Paris,Greek,,Bibliothèque Nationale de France,gr. 239,,,,http://www.nasscal.com/manuscripta-apocryphorum/paris-bibliotheque-nationale-de-france-gr-239/,http://gallica.bnf.fr/services/engine/search/advancedSearch/
80,France,Paris,Greek,,Bibliothèque Nationale de France,gr. 523,,,,http://www.nasscal.com/manuscripta-apocryphorum/paris-bibliotheque-nationale-de-france-gr-523/,http://gallica.bnf.fr/services/engine/search/advancedSearch/
81,France,Paris,Greek,,Bibliothèque Nationale de France,gr. 683,,,,http://www.nasscal.com/manuscripta-apocryphorum/paris-bibliotheque-nationale-de-france-gr-683/,http://gallica.bnf.fr/services/engine/search/advancedSearch/
82,France,Paris,Greek,,Bibliothèque Nationale de France,gr. 770,,,,http://www.nasscal.com/manuscripta-apocryphorum/paris-bibliotheque-nationale-de-france-gr-770/,http://gallica.bnf.fr/services/engine/search/advancedSearch/
83,France,Paris,Greek,,Bibliothèque Nationale de France,gr. 881,,,,http://www.nasscal.com/manuscripta-apocryphorum/paris-bibliotheque-nationale-de-france-gr-881/,http://gallica.bnf.fr/services/engine/search/advancedSearch/
84,France,Paris,Greek,,Bibliothèque Nationale de France,gr. 929,,,,http://www.nasscal.com/manuscripta-apocryphorum/paris-bibliotheque-nationale-de-france-gr-929/,http://gallica.bnf.fr/services/engine/search/advancedSearch/
85,France,Paris,Greek,,Bibliothèque Nationale de France,gr. 930,,,,http://www.nasscal.com/manuscripta-apocryphorum/paris-bibliotheque-nationale-de-france-gr-930/,http://gallica.bnf.fr/services/engine/search/advancedSearch/
86,France,Paris,Greek,,Bibliothèque Nationale de France,gr. 947,,,,http://www.nasscal.com/manuscripta-apocryphorum/paris-bibliotheque-nationale-de-france-gr-947/,http://gallica.bnf.fr/services/engine/search/advancedSearch/
87,France,Paris,Greek,,Bibliothèque Nationale de France,gr. 1176,,,,http://www.nasscal.com/manuscripta-apocryphorum/paris-bibliotheque-nationale-de-france-gr-1176/,http://gallica.bnf.fr/services/engine/search/advancedSearch/
88,France,Paris,Greek,,Bibliothèque Nationale de France,gr. 1454,,,,http://www.nasscal.com/manuscripta-apocryphorum/paris-bibliotheque-nationale-de-france-gr-1454/,http://gallica.bnf.fr/services/engine/search/advancedSearch/
89,France,Paris,Greek,,Bibliothèque Nationale de France,gr. 1468,,,,http://www.nasscal.com/manuscripta-apocryphorum/paris-bibliotheque-nationale-de-france-gr-1468/,http://gallica.bnf.fr/services/engine/search/advancedSearch/
90,France,Paris,Latin,,Bibliothèque Nationale de France,lat. 5288,,,,http://www.nasscal.com/manuscripta-apocryphorum/paris-bibliotheque-nationale-de-france-lat-5288/,http://gallica.bnf.fr/services/engine/search/advancedSearch/
91,France,Paris,Latin,,Bibliothèque Nationale de France,lat. 5327,,,,http://www.nasscal.com/manuscripta-apocryphorum/paris-bibliotheque-nationale-de-france-lat-5327/,http://gallica.bnf.fr/services/engine/search/advancedSearch/
92,France,Paris,Latin,,Bibliothèque Nationale de France,lat. 11867,,,,http://www.nasscal.com/manuscripta-apocryphorum/paris-bibliotheque-nationale-de-france-lat-11867/,http://gallica.bnf.fr/services/engine/search/advancedSearch/
93,France,Paris,Latin,,Bibliothèque Nationale de France,lat. 13069,,,,http://www.nasscal.com/manuscripta-apocryphorum/paris-bibliotheque-nationale-de-france-lat-13069/,http://gallica.bnf.fr/services/engine/search/advancedSearch/
94,France,Paris,Latin,,Bibliothèque Nationale de France,lat. 14489,,,,http://xn--paris%2C%20bibliothque%20nationale%20de%20france-fge/,http://gallica.bnf.fr/services/engine/search/advancedSearch/
95,France,Paris,Syriac,,Bibliothèque Nationale de France,syr. 179,,,,http://www.nasscal.com/manuscripta-apocryphorum/paris-biblotheque-nationale-de-france-syr-179/,http://gallica.bnf.fr/services/engine/search/advancedSearch/
96,France,Paris,Syriac,,Bibliothèque Nationale de France,syr. 377,,,,http://www.nasscal.com/manuscripta-apocryphorum/paris-bibliotheque-nationale-de-france-syr-377/,http://gallica.bnf.fr/services/engine/search/advancedSearch/
97,Italy,Rome,Greek,,Biblioteca Angelica,gr. 108 (B 2.2),,,,http://www.nasscal.com/manuscripta-apocryphorum/rome-biblioteca-angelica-gr-108-b-2-2/,https://manus.iccu.sbn.it/index.php
98,Italy,Rome,Latin,,Biblioteca Apostolica Vaticana,Pal. lat. 220,,,,https://www.nasscal.com/manuscripta-apocryphorum/vatican-biblioteca-apostolica-vaticana-pal-lat-220/,
99,Italy,Rome,Latin,,Biblioteca Apostolica Vaticana,Pal. lat. 430,,,,http://www.nasscal.com/manuscripta-apocryphorum/vatican-biblioteca-apostolica-pal-lat-430/,
100,Italy,Rome,Latin,,Biblioteca Apostolica Vaticana,Pal. lat. 619,,,,http://www.nasscal.com/manuscripta-apocryphorum/vatican-biblioteca-apostolica-pal-lat-619/,
101,Italy,Rome,Latin,,Biblioteca Apostolica Vaticana,Reg. lat. 49,,,,https://www.nasscal.com/manuscripta-apocryphorum/vatican-biblioteca-apostolica-vaticana-reg-lat-49/,
102,Italy,Rome,Latin,,Biblioteca Apostolica Vaticana,Reg. lat. 648,,,,http://www.nasscal.com/manuscripta-apocryphorum/vatican-biblioteca-apostolica-reg-lat-648/,
103,Italy,Rome,Latin,,Biblioteca Apostolica Vaticana,Vat. lat. 348,,,,http://www.nasscal.com/manuscripta-apocryphorum/vatican-biblioteca-apostolica-vat-lat-348/,
104,Italy,Rome,Gar__n_,,Biblioteca Apostolica Vaticana,Vat. sir. 211,,,,http://www.nasscal.com/manuscripta-apocryphorum/vatican-biblioteca-apostolica-vat-sir-211/,
105,Italy,Rome,Gar__n_,,Biblioteca Apostolica Vaticana,Vat. sir. 212,,,,http://www.nasscal.com/manuscripta-apocryphorum/vatican-biblioteca-apostolica-vat-sir-212/,
